"Dia","Hora","Satelite","Instrumento","Latitud","Longitud","FP_T21","FP_T31","FP_Power","FP_Confidence","SCAN","TRACK"
2024-10-01,05:47:03,"AQUA","MODIS",-26.114964,-61.117123,344.88,302.644,76.274,100,1.35364,1.15283
2024-10-01,05:47:03,"AQUA","MODIS",-26.117327,-61.103905,340.535,302.649,63.7373,100,1.35111,1.15183
2024-10-01,05:47:03,"AQUA","MODIS",-26.125147,-61.119331,318.789,300.598,20.2787,97,1.35364,1.15283
2024-10-01,05:47:03,"AQUA","MODIS",-26.127502,-61.10611,341.076,302.281,65.0521,100,1.35111,1.15183
2024-10-01,05:47:03,"AQUA","MODIS",-26.424595,-60.945419,321.061,299.316,23.9837,100,1.30788,1.13452
2024-10-01,05:47:03,"AQUA","MODIS",-26.426865,-60.93261,311.837,299.362,11.7558,81,1.30561,1.13359
2024-10-01,05:47:03,"AQUA","MODIS",-26.43462,-60.947582,336.951,299.734,53.3334,100,1.30788,1.13452
2024-10-01,05:47:03,"AQUA","MODIS",-26.436882,-60.934772,329.68,299.965,37.8373,100,1.30561,1.13359
2024-10-01,05:47:03,"AQUA","MODIS",-26.444647,-60.949745,327.69,300.391,34.6488,100,1.30788,1.13452
2024-10-01,05:47:03,"AQUA","MODIS",-26.614145,-61.340088,312.452,298.643,13.1216,83,1.36914,1.15895
2024-10-01,05:47:03,"AQUA","MODIS",-26.745638,-62.791897,324.47,298.235,43.606,100,1.68023,1.27375
2024-10-01,05:47:03,"AQUA","MODIS",-26.748758,-62.775471,327.355,299.311,50.2132,100,1.67576,1.2722
